"deck","habilidad","wins","fecha"
"Necroz","Robo del Destino",148,"2022-08-19"
"Elemental Heros","Alianza de Héroes",117,"2022-08-20"
"Rose Dragon","Conjuro de Rosas",71,"2022-08-20"
"Galaxy-Eyes","Galaxia XYZ",NULL,"2022-08-21"
"Rose Dragon","Conjuro de Rosas",101,"2022-08-21"
"Fluffal","Precognición",125,"2022-08-21"
"Galaxy-Eyes","Galaxia XYZ",76,"2022-08-21"
"D/D/D","El Mando del Rey de la Perdición",114,"2022-08-21"
"Yosenjus","Robo del Destino",161,"2022-08-22"
"Meklord","Refinamiento Meklord",124,"2022-08-22"
"Shiranui","Robar sentido Oscuridad",146,"2022-08-22"
"Metalfoes","Barrera de Luz",71,"2022-08-22"
"Dark Magician","Reino Dinosaurio",129,"2022-08-22"
"Galaxy-Eyes","Galaxia XYZ",103,"2022-08-23"
"Satellarknights","ZEXAL Evolución XYZ",87,"2022-08-23"
"Satellarknights","Robo del Destino",112,"2022-08-23"
"Tech Genus","Control de Vuelo",152,"2022-08-24"
"Elemental Heros","Duelo Favorito",88,"2022-08-24"
"War Rock","Carga de ataque",112,"2022-08-24"
"Dinos","Reino Dinosaurio",93,"2022-08-22"
"Meklord","Refinamiento Meklord",114,"2022-08-21"
"Evil Eye","Rápido como el Viento",108,"2022-08-19"
"Galaxy-Eyes","Galaxia XYZ",112,"2022-08-23"
"Bujin","Robo del Destino",94,"2022-08-23"
"Rose Dragon","Conjuro de Rosas",92,"2022-08-25"
"Elemental Heros","Duelo Favorito",103,"2022-08-25"
"Galaxy-Eyes","Galaxia XYZ",67,"2022-08-26"
"Elemental Heros","Duelo Favorito",318,"2022-08-26"
"Witchcrafter","Con Valor",79,"2022-08-26"
"Lunalight","Robo del Destino",184,"2022-08-26"
"Fish Armor","Gemelos Unidos",283,"2022-08-26"
"Galaxy-Eyes","Galaxia XYZ",57,"2022-08-27"
"Rose Dragon","Conjuro de Rosas",143,"2022-08-28"
"Ritual Beasts","Vinculaciones",100,"2022-08-28"
"Galaxy-Eyes","Galaxia XYZ",59,"2022-08-29"
"Elemental Heros","Duelo Favorito",NULL,"2022-08-26"
"Meklord","Refinamiento Meklord",NULL,"2022-08-27"
"Necroz","Maestro de Rituales",108,"2022-08-28"
"Phantom Knights","Estrategia Fantasma",55,"2022-08-28"
"Satellarknights","Robo del Destino",171,"2022-08-26"
"Shiranui","Robo del Destino",143,"2022-08-26"
"Rose Dragon","Conjuro de Rosas",180,"2022-08-29"
"Red-Eyes","Ruleta de Ojos Rojos",NULL,"2022-08-30"
"Evil Heros","Dominio de la Oscuridad",NULL,"2022-08-30"
"Rose Dragon","Conjuro de Rosas",NULL,"2022-08-31"
"Rose Dragon","Conjuro de Rosas",NULL,"2022-08-31"
"Railway","Tren Imparable",NULL,"2022-08-31"
"Super Quant","Robo del Destino Monstruo Renacido",51,"2022-08-29"
"Rose Dragon","Conjuro de Rosas",89,"2022-08-29"
"Necroz","Maestro de Rituales II",113,"2022-08-29"
"Necroz","Maestro de Rituales",96,"2022-08-30"
"Railway","Tren Imparable",88,"2022-08-30"
"Galaxy-Eyes","Galaxia XYZ",118,"2022-08-31"
"Metalfoes","Mundo Repleto de Malicia",72,"2022-08-31"
"Odd-Eyes","Xiangke y Xiangsheng",154,"2022-08-31"
"Elemental Heros","Duelo Favorito",128,"2022-08-31"
"Buster Blader","Robar sentido Nivel bajo",82,"2022-08-31"
"Elemental Heros","Duelo Favorito",113,"2022-08-31"
"Super Quant","Robar sentido Nivel alto",79,"2022-08-31"
"Elemental Heros","Duelo Favorito",79,"2022-08-31"
